30002,Avondale Estates
30003,Norcross
30004,Alpharetta
30005,Alpharetta
30006,Marietta
30007,Marietta
30008,Marietta
30009,Alpharetta
30010,Norcross
30011,Auburn
30012,Conyers
30013,Conyers
30014,Covington
30015,Covington
30016,Covington
30017,Grayson
30018,Jersey
30019,Dacula
30021,Clarkston
30022,Alpharetta
30023,Alpharetta
30024,Suwanee
30025,Social Circle
30026,North Metro
30028,Cumming
30029,North Metro
30030,Decatur
30031,Decatur
30032,Decatur
30033,Decatur
30034,Decatur
30035,Decatur
30036,Decatur
30037,Decatur
30038,Lithonia
30039,Snellville
30040,Cumming
30041,Cumming
30042,Lawrenceville
30043,Lawrenceville
30044,Lawrenceville
30045,Lawrenceville
30046,Lawrenceville
30047,Lilburn
30048,Lilburn
30049,Lawrenceville
30052,Loganville
30054,Oxford
30055,Mansfield
30056,Newborn
30058,Lithonia
30060,Marietta
30061,Marietta
30062,Marietta
30063,Marietta
30064,Marietta
30065,Marietta
30066,Marietta
30067,Marietta
30068,Marietta
30069,Marietta
30070,Porterdale
30071,Norcross
30072,Pine Lake
30073,Decatur
30074,Redan
30075,Roswell
30076,Roswell
30077,Roswell
30078,Snellville
30079,Scottdale
30080,Smyrna
30081,Smyrna
30082,Smyrna
30083,Stone Mountain
30084,Tucker
30085,Tucker
30086,Stone Mountain
30087,Stone Mountain
30088,Stone Mountain
30090,Marietta
30091,Norcross
30092,Norcross
30093,Norcross
30094,Conyers
30095,Duluth
30096,Duluth
30097,Duluth
30098,Duluth
30099,Duluth
30101,Acworth
30102,Acworth
30103,Adairsville
30104,Aragon
30105,Armuchee
30106,Austell
30107,Ball Ground
30108,Bowdon
30109,Bowdon Junction
30110,Bremen
30111,Clarkdale
30112,Carrollton
30113,Buchanan
30114,Canton
30115,Canton
30116,Carrollton
30117,Carrollton
30118,Carrollton
30119,Carrollton
30120,Cartersville
30121,Cartersville
30122,Lithia Springs
30123,Cassville
30124,Cave Spring
30125,Cedartown
30126,Mableton
30127,Powder Springs
30129,Coosa
30132,Dallas
30133,Douglasville
30134,Douglasville
30135,Douglasville
30137,Emerson
30138,Esom Hill
30139,Fairmount
30140,Felton
30141,Hiram
30142,Holly Springs
30143,Jasper
30144,Kennesaw
30145,Kingston
30146,Lebanon
30147,Lindale
30148,Marble Hill
30149,Mount Berry
30150,Mount Zion
30151,Nelson
30152,Kennesaw
30153,Rockmart
30154,Douglasville
30156,Kennesaw
30157,Dallas
30160,Kennesaw
30161,Rome
30162,Rome
30163,Rome
30164,Rome
30165,Rome
30168,Austell
30169,Canton
30170,Roopville
